['1', '911106', 'I', '25/55', '16/20', '24/30', '36/45', '2', '911107', 'I', '33/55', '13/20', '20/30', '36/45', '3', '911108', 'I', '14/50', '8/25', '12/25', '4', '911109', 'I', '22/50', '10/25', '20/25', '5', '911110', 'I', '22/55', '18/20', '15/30', '26/45', '6', '911111', 'I', '20/50', '21/25', '21/25', '7', '911112', 'I', '45/75', '11/25']
['1', '911106', 'I', '49/55', '18/20', '28/30', '43/45', '2', '911107', 'I', '55/55', '20/20', '30/30', '44/45', '3', '911108', 'I', '35/50', '20/25', '20/25', '4', '911109', 'I', '37/50', '22/25', '22/25', '5', '911110', 'I', '36/55', '16/20', '19/30', '32/45', '6', '911111', 'I', '39/50', '21/25', '21/25', '7', '911112', 'I', '62/75', '20/25']
['1', '911106', 'I', '12/55', '0/20', '0/30', '20/45', '2', '911107', 'I', '13/55', '11/20', '12/30', '20/45', '3', '911108', 'I', '7/50', '0/25', '0/25', '4', '911109', 'I', '6/50', '7/25', 'AB/25', '5', '911110', 'I', '4/55', '0/20', '0/30', '0/45', '6', '911111', 'I', '18/50', '17/25', '0/25', '7', '911112', 'I', '10/75', '0/25']
['1', '911106', 'I', '46/55', '18/20', '23/30', '38/45', '2', '911107', 'I', '53/55', '16/20', '30/30', '41/45', '3', '911108', 'I', '28/50', '15/25', '15/25', '4', '911109', 'I', '30/50', '15/25', '22/25', '5', '911110', 'I', '42/55', '17/20', '14/30', '28/45', '6', '911111', 'I', '41/50', '20/25', '21/25', '7', '911112', 'I', '62/75', '18/25']
['1', '911106', 'I', '45/55', '14/20', '23/30', '28/45', '2', '911107', 'I', '41/55', '15/20', '22/30', '38/45', '3', '911108', 'I', '20/50', '16/25', '11/25', '4', '911109', 'I', '23/50', '11/25', '20/25', '5', '911110', 'I', '37/55', '17/20', '19/30', '31/45', '6', '911111', 'I', '43/50', '20/25', '22/25', '7', '911112', 'I', '60/75', '24/25']
['1', '911106', 'I', '32/55', '16/20', '26/30', '40/45', '2', '911107', 'I', '34/55', '12/20', '28/30', '44/45', '3', '911108', 'I', '35/50', '19/25', '18/25', '4', '911109', 'I', '26/50', '23/25', '22/25', '5', '911110', 'I', '31/55', '14/20', '20/30', '25/45', '6', '911111', 'I', '37/50', '21/25', '22/25', '7', '911112', 'I', '63/75', '19/25']
['1', '911106', 'I', '2/55', '0/20', '14/30', '20/45', '2', '911107', 'I', '8/55', '10/20', '12/30', '18/45', '3', '911108', 'I', '13/50', '6/25', '8/25', '4', '911109', 'I', '4/50', '0/25', 'AB/25', '5', '911110', 'I', '22/55', '8/20', '12/30', '18/45', '6', '911111', 'I', '20/50', '14/25', '18/25', '7', '911112', 'I', '33/75', '17/25']
['1', '911106', 'I', '35/55', '10/20', '22/30', '31/45', '2', '911107', 'I', '32/55', '14/20', '23/30', '33/45', '3', '911108', 'I', '20/50', '19/25', '10/25', '4', '911109', 'I', '25/50', '18/25', '20/25', '5', '911110', 'I', '32/55', '16/20', '16/30', '26/45', '6', '911111', 'I', '35/50', '21/25', '21/25', '7', '911112', 'I', '50/75', '14/25']
['1', '911106', 'I', '49/55', '15/20', '21/30', '20/45', '2', '911107', 'I', '43/55', '19/20', '22/30', '37/45', '3', '911108', 'I', '33/50', '20/25', '20/25', '4', '911109', 'I', '24/50', '19/25', '15/25', '5', '911110', 'I', '36/55', '10/20', '14/30', '23/45', '6', '911111', 'I', '30/50', '20/25', '22/25', '7', '911112', 'I', '41/75', '14/25']
['1', '911106', 'I', '38/55', '16/20', '26/30', '34/45', '2', '911107', 'I', '48/55', '20/20', '22/30', '33/45', '3', '911108', 'I', '40/50', '19/25', '21/25', '4', '911109', 'I', '23/50', '10/25', '10/25', '5', '911110', 'I', '43/55', '14/20', '14/30', '23/45', '6', '911111', 'I', '45/50', '20/25', '20/25', '7', '911112', 'I', '57/75', '14/25']
